source	target	size
SALADILLO	25 DE MAYO	1
25 DE MAYO	9 DE JULIO	1
CARLOS CASARES	9 DE JULIO	1
SALLIQUELÓ	ADOLFO ALSINA	1
25 DE MAYO	ALBERTI	1
CHACABUCO	ALBERTI	1
CHIVILCOY	ALBERTI	1
PERGAMINO	ARRECIFES	1
LANÚS	AVELLANEDA	1
QUILMES	AVELLANEDA	1
BALCARCE	AYACUCHO	1
GENERAL GUIDO	AYACUCHO	1
MAIPÚ	AYACUCHO	1
MAR CHIQUITA	AYACUCHO	1
PILA	AYACUCHO	1
RAUCH	AYACUCHO	1
TANDIL	AYACUCHO	1
LAS FLORES	AZUL	1
OLAVARRÍA	AZUL	1
RAUCH	AZUL	1
TANDIL	AZUL	1
TAPALQUÉ	AZUL	1
GENERAL ALVARADO	BALCARCE	1
GENERAL PUEYRREDÓN	BALCARCE	1
MAR CHIQUITA	BALCARCE	1
TANDIL	BALCARCE	1
CAPITÁN SARMIENTO	BARADERO	1
SAN ANTONIO DE ARECO	BARADERO	1
ZÁRATE	BARADERO	1
ADOLFO GONZALES CHAVES	BENITO JUÁREZ	1
AZUL	BENITO JUÁREZ	1
LAPRIDA	BENITO JUÁREZ	1
NECOCHEA	BENITO JUÁREZ	1
OLAVARRÍA	BENITO JUÁREZ	1
TANDIL	BENITO JUÁREZ	1
ENSENADA	BERISSO	1
LA PLATA	BERISSO	1
MAGDALENA	BERISSO	1
25 DE MAYO	BOLÍVAR	1
9 DE JULIO	BOLÍVAR	1
CARLOS CASARES	BOLÍVAR	1
GENERAL ALVEAR	BOLÍVAR	1
OLAVARRÍA	BOLÍVAR	1
25 DE MAYO	BRAGADO	1
9 DE JULIO	BRAGADO	1
ALBERTI	BRAGADO	1
CHACABUCO	BRAGADO	1
JUNÍN	BRAGADO	1
CHASCOMÚS	BRANDSEN	1
GENERAL PAZ	BRANDSEN	1
LA PLATA	BRANDSEN	1
MAGDALENA	BRANDSEN	1
ESCOBAR	CAMPANA	1
EZEIZA	CAÑUELAS	1
GENERAL LAS HERAS	CAÑUELAS	1
GENERAL PAZ	CAÑUELAS	1
LA MATANZA	CAÑUELAS	1
MARCOS PAZ	CAÑUELAS	1
MONTE	CAÑUELAS	1
ARRECIFES	CAPITÁN SARMIENTO	1
SAN ANTONIO DE ARECO	CAPITÁN SARMIENTO	1
GENERAL VILLEGAS	CARLOS TEJEDOR	1
CAPITÁN SARMIENTO	CARMEN DE ARECO	1
SAN ANTONIO DE ARECO	CARMEN DE ARECO	1
CHASCOMÚS	CASTELLI	1
LEZAMA	CASTELLI	1
CARMEN DE ARECO	CHACABUCO	1
JUNÍN	CHACABUCO	1
ROJAS	CHACABUCO	1
SALTO	CHACABUCO	1
GENERAL PAZ	CHASCOMÚS	1
LEZAMA	CHASCOMÚS	1
MAGDALENA	CHASCOMÚS	1
25 DE MAYO	CHIVILCOY	1
CHACABUCO	CHIVILCOY	1
SUIPACHA	CHIVILCOY	1
PERGAMINO	COLÓN	1
ROJAS	COLÓN	1
BAHÍA BLANCA	CORONEL DE MARINA LEONARDO ROSALES	1
CORONEL DORREGO	CORONEL DE MARINA LEONARDO ROSALES	1
CORONEL PRINGLES	CORONEL DE MARINA LEONARDO ROSALES	1
MONTE HERMOSO	CORONEL DE MARINA LEONARDO ROSALES	1
CORONEL PRINGLES	CORONEL DORREGO	1
TRES ARROYOS	CORONEL DORREGO	1
ADOLFO GONZALES CHAVES	CORONEL PRINGLES	1
BAHÍA BLANCA	CORONEL PRINGLES	1
CORONEL SUÁREZ	CORONEL PRINGLES	1
TORNQUIST	CORONEL PRINGLES	1
BOLÍVAR	DAIREAUX	1
CORONEL SUÁREZ	DAIREAUX	1
GENERAL LA MADRID	DAIREAUX	1
HIPÓLITO YRIGOYEN	DAIREAUX	1
OLAVARRÍA	DAIREAUX	1
PEHUAJÓ	DAIREAUX	1
TRENQUE LAUQUEN	DAIREAUX	1
CASTELLI	DOLORES	1
GENERAL GUIDO	DOLORES	1
MAIPÚ	DOLORES	1
PILA	DOLORES	1
BERAZATEGUI	ENSENADA	1
LA PLATA	ENSENADA	1
ALMIRANTE BROWN	ESTEBAN ECHEVERRÍA	1
LA MATANZA	ESTEBAN ECHEVERRÍA	1
PRESIDENTE PERÓN	ESTEBAN ECHEVERRÍA	1
CAMPANA	EXALTACIÓN DE LA CRUZ	1
SAN ANTONIO DE ARECO	EXALTACIÓN DE LA CRUZ	1
ESTEBAN ECHEVERRÍA	EZEIZA	1
LA MATANZA	EZEIZA	1
ALMIRANTE BROWN	FLORENCIO VARELA	1
BERAZATEGUI	FLORENCIO VARELA	1
LA PLATA	FLORENCIO VARELA	1
PRESIDENTE PERÓN	FLORENCIO VARELA	1
CARLOS TEJEDOR	FLORENTINO AMEGHINO	1
GENERAL PINTO	FLORENTINO AMEGHINO	1
GENERAL VILLEGAS	FLORENTINO AMEGHINO	1
LINCOLN	FLORENTINO AMEGHINO	1
25 DE MAYO	GENERAL ALVEAR	1
LAS FLORES	GENERAL ALVEAR	1
SALADILLO	GENERAL ALVEAR	1
COLÓN	GENERAL ARENALES	1
JUNÍN	GENERAL ARENALES	1
LEANDRO N. ALEM	GENERAL ARENALES	1
ROJAS	GENERAL ARENALES	1
CHASCOMÚS	GENERAL BELGRANO	1
GENERAL PAZ	GENERAL BELGRANO	1
LAS FLORES	GENERAL BELGRANO	1
MAIPÚ	GENERAL GUIDO	1
MAIPÚ	GENERAL JUAN MADARIAGA	1
CORONEL PRINGLES	GENERAL LA MADRID	1
CORONEL SUÁREZ	GENERAL LA MADRID	1
OLAVARRÍA	GENERAL LA MADRID	1
GENERAL RODRÍGUEZ	GENERAL LAS HERAS	1
LUJÁN	GENERAL LAS HERAS	1
GENERAL JUAN MADARIAGA	GENERAL LAVALLE	1
MAIPÚ	GENERAL LAVALLE	1
GENERAL ALVARADO	GENERAL PUEYRREDÓN	1
LUJÁN	GENERAL RODRÍGUEZ	1
MORENO	GENERAL RODRÍGUEZ	1
PILAR	GENERAL RODRÍGUEZ	1
SAN MIGUEL	GENERAL SAN MARTÍN	1
TIGRE	GENERAL SAN MARTÍN	1
VICENTE LÓPEZ	GENERAL SAN MARTÍN	1
9 DE JULIO	GENERAL VIAMONTE	1
BRAGADO	GENERAL VIAMONTE	1
JUNÍN	GENERAL VIAMONTE	1
LINCOLN	GENERAL VIAMONTE	1
GENERAL PINTO	GENERAL VILLEGAS	1
ADOLFO ALSINA	GUAMINÍ	1
CORONEL SUÁREZ	GUAMINÍ	1
DAIREAUX	GUAMINÍ	1
SALLIQUELÓ	GUAMINÍ	1
TRENQUE LAUQUEN	GUAMINÍ	1
TRES LOMAS	GUAMINÍ	1
BOLÍVAR	HIPÓLITO YRIGOYEN	1
CARLOS CASARES	HIPÓLITO YRIGOYEN	1
PEHUAJÓ	HIPÓLITO YRIGOYEN	1
SAN MIGUEL	HURLINGHAM	1
HURLINGHAM	ITUZAINGÓ	1
MERLO	ITUZAINGÓ	1
MORENO	ITUZAINGÓ	1
MORÓN	ITUZAINGÓ	1
SAN MIGUEL	ITUZAINGÓ	1
ROJAS	JUNÍN	1
GENERAL LAVALLE	LA COSTA	1
PINAMAR	LA COSTA	1
BERAZATEGUI	LA PLATA	1
MAGDALENA	LA PLATA	1
ADOLFO GONZALES CHAVES	LAPRIDA	1
CORONEL PRINGLES	LAPRIDA	1
GENERAL LA MADRID	LAPRIDA	1
OLAVARRÍA	LAPRIDA	1
SALADILLO	LAS FLORES	1
GENERAL PINTO	LEANDRO N. ALEM	1
JUNÍN	LEANDRO N. ALEM	1
LINCOLN	LEANDRO N. ALEM	1
9 DE JULIO	LINCOLN	1
CARLOS CASARES	LINCOLN	1
CARLOS TEJEDOR	LINCOLN	1
GENERAL PINTO	LINCOLN	1
JUNÍN	LINCOLN	1
PEHUAJÓ	LINCOLN	1
BALCARCE	LOBERÍA	1
GENERAL ALVARADO	LOBERÍA	1
NECOCHEA	LOBERÍA	1
TANDIL	LOBERÍA	1
25 DE MAYO	LOBOS	1
CAÑUELAS	LOBOS	1
GENERAL LAS HERAS	LOBOS	1
MONTE	LOBOS	1
NAVARRO	LOBOS	1
ROQUE PÉREZ	LOBOS	1
ALMIRANTE BROWN	LOMAS DE ZAMORA	1
ESTEBAN ECHEVERRÍA	LOMAS DE ZAMORA	1
LA MATANZA	LOMAS DE ZAMORA	1
LANÚS	LOMAS DE ZAMORA	1
EXALTACIÓN DE LA CRUZ	LUJÁN	1
MERCEDES	LUJÁN	1
PILAR	LUJÁN	1
SAN ANDRÉS DE GILES	LUJÁN	1
ESCOBAR	MALVINAS ARGENTINAS	1
JOSÉ C. PAZ	MALVINAS ARGENTINAS	1
PILAR	MALVINAS ARGENTINAS	1
SAN MIGUEL	MALVINAS ARGENTINAS	1
TIGRE	MALVINAS ARGENTINAS	1
GENERAL JUAN MADARIAGA	MAR CHIQUITA	1
GENERAL PUEYRREDÓN	MAR CHIQUITA	1
MAIPÚ	MAR CHIQUITA	1
GENERAL LAS HERAS	MARCOS PAZ	1
GENERAL RODRÍGUEZ	MARCOS PAZ	1
LA MATANZA	MARCOS PAZ	1
MERLO	MARCOS PAZ	1
MORENO	MARCOS PAZ	1
SAN ANDRÉS DE GILES	MERCEDES	1
LA MATANZA	MERLO	1
MORENO	MERLO	1
GENERAL BELGRANO	MONTE	1
GENERAL PAZ	MONTE	1
CORONEL DORREGO	MONTE HERMOSO	1
JOSÉ C. PAZ	MORENO	1
HURLINGHAM	MORÓN	1
LA MATANZA	MORÓN	1
MERLO	MORÓN	1
25 DE MAYO	NAVARRO	1
CHIVILCOY	NAVARRO	1
GENERAL LAS HERAS	NAVARRO	1
LUJÁN	NAVARRO	1
MERCEDES	NAVARRO	1
SUIPACHA	NAVARRO	1
ADOLFO GONZALES CHAVES	NECOCHEA	1
SAN CAYETANO	NECOCHEA	1
TANDIL	NECOCHEA	1
VILLARINO	PATAGONES	1
CARLOS CASARES	PEHUAJÓ	1
CARLOS TEJEDOR	PEHUAJÓ	1
ADOLFO ALSINA	PELLEGRINI	1
SALLIQUELÓ	PELLEGRINI	1
ROJAS	PERGAMINO	1
CASTELLI	PILA	1
CHASCOMÚS	PILA	1
GENERAL BELGRANO	PILA	1
GENERAL GUIDO	PILA	1
LAS FLORES	PILA	1
LEZAMA	PILA	1
RAUCH	PILA	1
CAMPANA	PILAR	1
ESCOBAR	PILAR	1
EXALTACIÓN DE LA CRUZ	PILAR	1
JOSÉ C. PAZ	PILAR	1
MORENO	PILAR	1
GENERAL JUAN MADARIAGA	PINAMAR	1
VILLA GESELL	PINAMAR	1
ALMIRANTE BROWN	PRESIDENTE PERÓN	1
ADOLFO ALSINA	PUÁN	1
TORNQUIST	PUÁN	1
CHASCOMÚS	PUNTA INDIO	1
MAGDALENA	PUNTA INDIO	1
ALMIRANTE BROWN	QUILMES	1
BERAZATEGUI	QUILMES	1
FLORENCIO VARELA	QUILMES	1
LANÚS	QUILMES	1
LOMAS DE ZAMORA	QUILMES	1
ARRECIFES	RAMALLO	1
PERGAMINO	RAMALLO	1
LAS FLORES	RAUCH	1
TANDIL	RAUCH	1
CARLOS TEJEDOR	RIVADAVIA	1
GENERAL VILLEGAS	RIVADAVIA	1
PELLEGRINI	RIVADAVIA	1
TRENQUE LAUQUEN	RIVADAVIA	1
25 DE MAYO	ROQUE PÉREZ	1
GENERAL BELGRANO	ROQUE PÉREZ	1
LAS FLORES	ROQUE PÉREZ	1
MONTE	ROQUE PÉREZ	1
SALADILLO	ROQUE PÉREZ	1
ADOLFO ALSINA	SAAVEDRA	1
CORONEL SUÁREZ	SAAVEDRA	1
PUÁN	SAAVEDRA	1
TORNQUIST	SAAVEDRA	1
ARRECIFES	SALTO	1
CAPITÁN SARMIENTO	SALTO	1
CARMEN DE ARECO	SALTO	1
PERGAMINO	SALTO	1
ROJAS	SALTO	1
CARMEN DE ARECO	SAN ANDRÉS DE GILES	1
EXALTACIÓN DE LA CRUZ	SAN ANDRÉS DE GILES	1
SAN ANTONIO DE ARECO	SAN ANDRÉS DE GILES	1
ADOLFO GONZALES CHAVES	SAN CAYETANO	1
CAMPANA	SAN FERNANDO	1
ESCOBAR	SAN FERNANDO	1
SAN ISIDRO	SAN FERNANDO	1
TIGRE	SAN FERNANDO	1
GENERAL SAN MARTÍN	SAN ISIDRO	1
TIGRE	SAN ISIDRO	1
VICENTE LÓPEZ	SAN ISIDRO	1
JOSÉ C. PAZ	SAN MIGUEL	1
MORENO	SAN MIGUEL	1
TIGRE	SAN MIGUEL	1
PERGAMINO	SAN NICOLÁS	1
RAMALLO	SAN NICOLÁS	1
ARRECIFES	SAN PEDRO	1
BARADERO	SAN PEDRO	1
CAPITÁN SARMIENTO	SAN PEDRO	1
RAMALLO	SAN PEDRO	1
BRANDSEN	SAN VICENTE	1
CAÑUELAS	SAN VICENTE	1
EZEIZA	SAN VICENTE	1
FLORENCIO VARELA	SAN VICENTE	1
GENERAL PAZ	SAN VICENTE	1
LA PLATA	SAN VICENTE	1
PRESIDENTE PERÓN	SAN VICENTE	1
CARMEN DE ARECO	SUIPACHA	1
CHACABUCO	SUIPACHA	1
MERCEDES	SUIPACHA	1
SAN ANDRÉS DE GILES	SUIPACHA	1
BOLÍVAR	TAPALQUÉ	1
GENERAL ALVEAR	TAPALQUÉ	1
LAS FLORES	TAPALQUÉ	1
OLAVARRÍA	TAPALQUÉ	1
ESCOBAR	TIGRE	1
CASTELLI	TORDILLO	1
DOLORES	TORDILLO	1
GENERAL LAVALLE	TORDILLO	1
MAIPÚ	TORDILLO	1
BAHÍA BLANCA	TORNQUIST	1
CORONEL SUÁREZ	TORNQUIST	1
CARLOS TEJEDOR	TRENQUE LAUQUEN	1
PEHUAJÓ	TRENQUE LAUQUEN	1
PELLEGRINI	TRENQUE LAUQUEN	1
ADOLFO GONZALES CHAVES	TRES ARROYOS	1
CORONEL PRINGLES	TRES ARROYOS	1
SAN CAYETANO	TRES ARROYOS	1
GENERAL SAN MARTÍN	TRES DE FEBRERO	1
HURLINGHAM	TRES DE FEBRERO	1
LA MATANZA	TRES DE FEBRERO	1
MORÓN	TRES DE FEBRERO	1
SAN MIGUEL	TRES DE FEBRERO	1
PELLEGRINI	TRES LOMAS	1
SALLIQUELÓ	TRES LOMAS	1
TRENQUE LAUQUEN	TRES LOMAS	1
GENERAL JUAN MADARIAGA	VILLA GESELL	1
MAR CHIQUITA	VILLA GESELL	1
BAHÍA BLANCA	VILLARINO	1
PUÁN	VILLARINO	1
TORNQUIST	VILLARINO	1
CAMPANA	ZÁRATE	1
EXALTACIÓN DE LA CRUZ	ZÁRATE	1
SAN ANTONIO DE ARECO	ZÁRATE	1