Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017
1	11M	CAPITAL	VALLE ESCONDIDO	423	1509	2764	3960	4742
1	4E	CAPITAL	NUESTRO HOGAR III	260	976	1512	2135	2596
1	14H	CAPITAL	MERCANTIL	892	1002	1211	3606	4663
21	326C	SANTA MARIA	SAN NICOLAS		497	879	1744	2461
1	13O	CAPITAL	CHACHAPOYAS	382	682	904	1265	1382
12	158B	PUNILLA	ESTANCIA VIEJA	372	530	658	1038	1300
21	316F	SANTA MARIA	VALLE DE ANIZACATE	302	420	488	793	1040
1	5H	CAPITAL	VILLA BOEDO	596	1030	1527	1742	1944
1	10M	CAPITAL	AMPLIACION CABILDO		575	982	1555	1868
19	276	SAN JAVIER	YACANTO	384	459	787	1177	1236
2	20B	CALAMUCHITA	VI.CIUD.PQUE.LOS REARTES	437	606	653	1095	1368
1	12I	CAPITAL	CIUDAD DE MIS SUEÑOS	813	1359	1719	2326	2535
1	4F	CAPITAL	CIUDAD OBISPO ANGELELLI	880	1355	1735	2325	2679
1	4D	CAPITAL	VILLA EUCARISTICA	795	981	1451	1942	2225
3	40A	COLON	MENDIOLAZA	4147	5487	6903	9937	11529
1	11L	CAPITAL	COUNTRYS DEL OESTE	1007	1603	2224	2576	2772
1	6E	CAPITAL	LA FLORESTA SUD	852	1308	1677	2121	2291
18	263C	SAN ALBERTO	ARROYO DE LOS PATOS	266	379	444	610	713
1	5I	CAPITAL	COLINAS DEL SUR	1941	3258	4032	4756	5111
21	316A	SANTA MARIA	ANIZACATE	1832	2405	2951	4043	4759
21	316G	SANTA MARIA	VILLA EL PRADO	684	769	959	1365	1717
21	326B	SANTA MARIA	BARRIO PRIMERO DE MAYO	701	836	1045	1348	1730
19	269A	SAN JAVIER	QUEBRACHO LADEADO	170	170	155	254	398
12	147B	PUNILLA	VILLA PARQUE SIQUIMAN	913	1123	1240	1746	2105
4	46B	CRUZ DEL EJE	ALTO DE LOS QUEBRACHOS	169	180	270	430	388
12	156D	PUNILLA	SAN ANTONIO DE ARREDONDO	2086	2752	3437	4474	4750
2	23	CALAMUCHITA	VILLA YACANTO	760	937	1026	1443	1673
21	316J	SANTA MARIA	VILLA PARQUE SANTA ANA	1399	1611	1883	2572	2999
2	20	CALAMUCHITA	LOS REARTES	710	942	1031	1328	1513
1	10K	CAPITAL	VICOR	2626	3341	4117	4888	5551
12	158C	PUNILLA	VILLA SANTA CRUZ DEL LAGO	1365	1710	2022	2540	2881
21	328	SANTA MARIA	POTRERO DE GARAY	646	899	972	1241	1363
12	158A	PUNILLA	CABALANGO	280	307	303	440	585
1	13L	CAPITAL	VILLA GRAN PARQUE	223	301	372	420	461
21	316E	SANTA MARIA	LOS CEDROS	594	826	909	1136	1219
2	328A	CALAMUCHITA	LA CUMBRECITA	411	465	641	762	834
4	57	CRUZ DEL EJE	TUCLAME	656	667	592	1219	1322
12	156B	PUNILLA	CUESTA BLANCA	239	306	348	425	477
12	156C	PUNILLA	MAYU SUMAJ	640	753	895	1115	1244
10	138	MINAS	CIENAGA DEL CORO	492	605	751	926	946
3	31B	COLON	VILLA CERRO AZUL	199	212	240	363	382
1	8	CAPITAL	LA FLORESTA NORTE	412	523	598	702	784
3	28A	COLON	CALERA CENTRAL	7141	8555	10290	12301	13522
4	46	CRUZ DEL EJE	GUANACO MUERTO	494	599	691	958	932
21	316B	SANTA MARIA	LA PAISANITA	93	106	131	165	173
3	35	COLON	MALVINAS ARGENTINAS	7134	8454	9851	11928	13138
12	156A	PUNILLA	YCHO CRUZ	985	1176	1339	1620	1802
12	147A	PUNILLA	SAN ROQUE	707	843	856	1103	1293
2	18D	CALAMUCHITA	VILLA QUILLINZO	93	95	94	160	169
1	13D	CAPITAL	JARDIN ARENALES	1515	1859	2199	2553	2733
12	149	PUNILLA	CASA GRANDE	424	527	545	643	763
3	34	COLON	JUAREZ CELMAN	6317	7344	8007	9863	11360
21	316H	SANTA MARIA	VILLA LA BOLSA	615	738	823	974	1103
11	146B	POCHO	SAN JERONIMO	153	160	162	290	274
3	41A	COLON	SALDAN	6813	8004	8731	10787	12096
24	357	TOTORAL	SINSACATE	1127	1285	1465	1774	1995
21	316D	SANTA MARIA	LA SERRANITA	269	307	344	427	471
1	14Q	CAPITAL	VILLA WARCALDE	724	883	1028	1168	1266
21	316I	SANTA MARIA	VILLA LOS AROMOS	547	624	662	850	956
9	122	MARCOS JUAREZ	BARGE	162	143	161	228	283
1	11F	CAPITAL	LOS ROBLES	4825	5577	6498	7350	8340
1	12A	CAPITAL	CARCANO	3370	4140	4834	5497	5820
1	5C	CAPITAL	EMPALME	10665	15675	17173	17670	18384
3	35A	COLON	MI GRANJA	598	736	763	915	1024
3	38	COLON	SALSIPUEDES	5733	6767	7167	8733	9743
12	151	PUNILLA	CHARBONIER	422	465	561	658	704
21	328B	SANTA MARIA	VILLA CIUDAD DE AMERICA	513	515	578	744	850
19	275A	SAN JAVIER	LOS CERRILLOS	1389	1580	1717	2021	2299
1	14C	CAPITAL	ARGUELLO SEGUNDO	3026	3595	4232	4650	5006
18	261A	SAN ALBERTO	SAN LORENZO	638	729	814	961	1053
1	14A	CAPITAL	ARGUELLO NORTE	11218	13415	15498	17290	18293
1	13G	CAPITAL	PARQUE LICEO	11663	14254	15877	17986	18982
12	147	PUNILLA	BIALET MASSE	3805	4337	4693	5554	6163
14	211	RIO PRIMERO	MONTE CRISTO	6272	6926	8217	9441	10150
7	91C	ISCHILIN	VILLA GUTIERREZ	189	206	237	279	305
21	316C	SANTA MARIA	LA RANCHERITA	104	114	135	159	167
21	324	SANTA MARIA	FALDA DEL CARMEN	894	836	994	1266	1433
18	265C	SAN ALBERTO	SAUCE ARRIBA	541	606	672	797	865
4	54	CRUZ DEL EJE	SAN MARCOS SIERRAS	1598	1792	1968	2333	2555
19	274A	SAN JAVIER	LA POBLACION	315	336	355	459	503
21	317	SANTA MARIA	BAJO CHICO	204	217	227	298	324
1	14E	CAPITAL	CERRO NORTE	4192	5084	5863	6463	6648
2	15A	CALAMUCHITA	VILLA AMANCAY	359	420	416	505	567
2	24A	CALAMUCHITA	VILLA DEL DIQUE	2249	2600	2889	3325	3550
1	14I	CAPITAL	SANTA CECILIA	3441	3935	4610	5146	5406
2	20A	CALAMUCHITA	VILLA GENERAL BELGRANO	5285	6163	6568	7501	8272
13	172	RIO CUARTO	HOLMBERG	3422	3768	3996	4707	5333
20	295A	SAN JUSTO	TORO PUJIO	187	203	207	252	291
1	12H	CAPITAL	LOS CERVECEROS	7337	8095	9223	10415	11415
4	44A	CRUZ DEL EJE	LAS PLAYAS	485	481	483	618	754
4	55A	CRUZ DEL EJE	LA BATEA	134	121	117	169	207
3	30	COLON	COLONIA TIROLESA	4100	4187	4362	5315	6265
20	288A	SAN JUSTO	VILLA SAN ESTEBAN	127	127	115	189	194
2	26	CALAMUCHITA	SANTA ROSA	8238	9317	10165	11640	12509
19	271	SAN JAVIER	LAS TAPIAS	1086	1223	1347	1523	1648
10	138D	MINAS	TOSNO	125	154	152	186	189
3	41	COLON	VILLA ALLENDE	20172	23028	25958	28954	30499
3	28	COLON	CALERA	12465	14177	15668	17439	18809
1	5F	CAPITAL	RENACIMIENTO	3131	3635	4087	4482	4715
24	352A	TOTORAL	LOS MISTOLES	99	118	132	144	149
13	179	RIO CUARTO	LAS HIGUERAS	4646	5073	5273	6209	6992
15	227B	RIO SECO	CERRO COLORADO	234	279	295	339	351
26	372A	UNION	ANA ZUMARAN	135	126	135	175	202
12	152A	PUNILLA	VILLA GIARDINO	3632	4107	4273	4997	5428
1	4C	CAPITAL	INAUDI	3114	3487	3922	4300	4652
3	27	COLON	ASCOCHINGA	2240	2428	2711	3132	3327
12	155	PUNILLA	SAN ESTEBAN	543	642	671	753	805
12	158	PUNILLA	TANTI	4401	4878	5195	5927	6518
13	187	RIO CUARTO	PUEYRREDON	75	80	81	103	111
1	13K	CAPITAL	VILLA ESQUIU	1560	1644	1845	2110	2307
21	331	SANTA MARIA	TOLEDO	3208	3480	3660	4299	4742
1	8A	CAPITAL	PALMAR	2756	3327	3617	3931	4073
1	14	CAPITAL	ARGUELLO	4873	5206	6143	6656	7191
19	270	SAN JAVIER	LAS ROSAS	3246	3371	3771	4364	4780
4	50A	CRUZ DEL EJE	LOS CHAÑARITOS	546	560	614	769	802
2	16A	CALAMUCHITA	VILLA LA MERCED	69	75	55	34	101
18	261	SAN ALBERTO	BROCHERO	4087	4740	5158	5650	5979
21	330	SANTA MARIA	SAN ISIDRO	446	476	555	623	650
18	263E	SAN ALBERTO	LAS RABONAS	537	612	648	717	779
3	40	COLON	UNQUILLO	12439	13776	15135	16893	18018
4	45	CRUZ DEL EJE	EL BRETE	980	924	895	1172	1414
3	37	COLON	RIO CEBALLOS	13511	15306	16338	18297	19465
1	11G	CAPITAL	PARQUE REPUBLICA	9622	10748	11928	12985	13858
19	272	SAN JAVIER	LOS HORNILLOS	892	903	978	1169	1283
6	73	GRAL SAN MARTIN	ARROYO ALGODON	1060	1124	1145	1492	1521
1	11I	CAPITAL	RESIDENCIAL SAN ROQUE	11187	12552	13803	14962	16007
2	24	CALAMUCHITA	RUMIPAL	1861	2041	2176	2439	2662
1	10D	CAPITAL	CONGRESO	2455	2811	3086	3290	3496
18	262	SAN ALBERTO	MINA CLAVERO	6202	6856	7625	8252	8822
6	90	GRAL SAN MARTIN	VILLA NUEVA	13175	14162	15811	17530	18740
18	263	SAN ALBERTO	NONO	1731	1985	2130	2381	2462
21	319	SANTA MARIA	BOUWER	1131	1431	1532	1553	1601
24	355	TOTORAL	SARMIENTO	809	905	951	1088	1145
1	12D	CAPITAL	JOSE IGNACIO DIAZ	19031	21122	23466	25343	26913
13	178B	RIO CUARTO	VILLA EL CHACAY	97	85	80	126	137
26	401	UNION	SANTA MARIA	161	157	197	204	226
26	374	UNION	BALLESTEROS SUD	609	644	622	675	854
1	11	CAPITAL	AERONAUTICO	3379	3751	4117	4503	4728
3	31A	COLON	AGUA DE ORO	1734	1866	1896	2220	2420
18	265	SAN ALBERTO	SAN PEDRO	3293	3729	3992	4175	4588
24	358	TOTORAL	SITON	472	477	491	626	653
15	229	RIO SECO	VILLA DE MARIA	3678	3942	4421	4823	5088
1	14O	CAPITAL	VILLA 9 DE JULIO	5581	6266	7001	7248	7703
10	141A	MINAS	EL CHACHO	117	129	134	158	161
12	157	PUNILLA	SANTA MARIA	6331	6995	7312	8095	8666
10	142A	MINAS	TALAINI	106	129	131	152	145
19	269	SAN JAVIER	LA PAZ	2241	2402	2574	2852	3062
18	263D	SAN ALBERTO	LAS CALLES	392	429	466	506	535
3	29	COLON	COLONIA CAROYA	12789	14318	15523	16651	17415
21	326	SANTA MARIA	MALAGUEÑO	5393	5806	6460	6972	7295
10	139	MINAS	GUASAPAMPA	222	205	205	290	300
7	100	ISCHILIN	QUILINO VILLA	882	888	875	983	1189
18	264	SAN ALBERTO	PANAHOLMA	296	303	320	396	399
1	10A	CAPITAL	CABILDO	3756	4030	4436	4776	5049
12	148	PUNILLA	CAPILLA DEL MONTE	8004	8659	9466	10340	10721
25	361	TULUMBA	LAS ARRIAS	1522	1747	1805	2046	2035
7	91B	ISCHILIN	LOS POZOS	98	103	105	118	131
20	315	SAN JUSTO	VIGNAUD	513	597	624	645	685
16	237	RIO SEGUNDO	LUQUE	4321	4694	5185	5555	5751
18	265A	SAN ALBERTO	VILLA SARMIENTO	3534	4021	4234	4457	4694
4	56	CRUZ DEL EJE	SOTO	5786	6120	6716	7152	7667
16	240	RIO SEGUNDO	PILAR	9933	10830	11371	12441	13127
24	359	TOTORAL	VILLA DEL TOTORAL	6077	6570	7230	7756	8031
1	12E	CAPITAL	FERREYRA	3811	4026	4425	4774	5033
1	14G	CAPITAL	LOS BOULEVARES	7153	7769	8483	9028	9437
1	13I	CAPITAL	SAN JORGE	4714	5208	5706	6024	6206
12	152	PUNILLA	HUERTA GRANDE	4607	4882	5221	5650	6037
20	309	SAN JUSTO	SAN BARTOLOME	1319	1369	1452	1549	1728
25	364	TULUMBA	LA DORMIDA	3518	3757	4155	4459	4606
13	165	RIO CUARTO	BANDA NORTE	23518	25940	28072	30030	30777
10	142	MINAS	SAN CARLOS	1611	1630	1822	2028	2103
5	58	GENERAL ROCA	BRUZONE	201	227	235	240	262
15	227D	RIO SECO	SANTA ELENA	270	292	311	346	350
14	218	RIO PRIMERO	RIO PRIMERO	5385	5722	6242	6644	6965
13	178	RIO CUARTO	LAS CAÑITAS	55	39	43	49	71
1	10I	CAPITAL	PARQUE HORIZONTE	8122	8101	9162	9858	10449
1	12G	CAPITAL	ITUZAINGO	8630	9342	9995	10548	11101
21	326A	SANTA MARIA	YOCSINA	2326	2041	2251	2634	2991
14	203	RIO PRIMERO	PEDRO E.VIVAS	283	345	361	352	363
21	316	SANTA MARIA	ALTA GRACIA	34151	37155	39656	41867	43769
12	150	PUNILLA	COSQUIN	15546	16523	17799	19042	19887
14	204	RIO PRIMERO	LA PARA	2955	3190	3470	3669	3769
8	109	JUAREZ CELMAN	DEHEZA	7740	8448	9066	9509	9869
13	160A	RIO CUARTO	LA CAROLINA	197	229	232	243	251
13	184A	RIO CUARTO	MONTE DE LOS GAUCHOS	564	624	621	686	717
3	31	COLON	EL MANZANO	937	931	964	1129	1191
20	279	SAN JUSTO	ARROYITO	16042	17524	18878	19673	20379
3	33	COLON	JESUS MARIA	23411	26313	27143	28407	29710
19	273	SAN JAVIER	LUYABA	1024	982	1062	1208	1298
1	7A	CAPITAL	GUIÑAZU	5368	5917	6541	6638	6787
13	169	RIO CUARTO	CHUCUL	341	341	345	413	431
6	79	GRAL SAN MARTIN	LA PLAYOSA	2309	2546	2703	2848	2905
20	304	SAN JUSTO	MORTEROS	13255	14013	14947	15829	16673
8	113	JUAREZ CELMAN	LOS CISNES	605	623	609	673	760
4	51	CRUZ DEL EJE	PASO VIEJO	824	855	824	978	1035
26	372	UNION	ALTO ALEGRE	911	922	987	1122	1144
1	14K	CAPITAL	VILLA ALLENDE PARQUE	2913	3335	3618	3600	3658
24	352	TOTORAL	LAS PEÑAS	1366	1446	1547	1673	1715
10	138C	MINAS	ESTANCIA DE GUADALUPE	329	379	324	429	413
12	156	PUNILLA	VILLA CARLOS PAZ	44983	48896	53129	54764	56431
6	87	GRAL SAN MARTIN	TICINO	1608	1800	1914	1998	2017
1	10E	CAPITAL	ESTACION FLORES	10284	10922	11531	12118	12899
6	89	GRAL SAN MARTIN	VILLA MARIA	57785	63397	67781	70985	72455
14	205	RIO PRIMERO	LA PUERTA	1677	1780	1879	2012	2102
1	13E	CAPITAL	LA DOROTEA	1008	1164	1251	1215	1263
8	114	JUAREZ CELMAN	OLAETA	524	555	587	644	656
4	43A	CRUZ DEL EJE	LAS CAÑADAS	143	139	132	193	179
8	106	JUAREZ CELMAN	CABRERA	8437	9166	9752	10363	10534
8	108	JUAREZ CELMAN	CHARRAS	870	920	957	1041	1086
16	245	RIO SEGUNDO	VILLA DEL ROSARIO	10796	11385	12340	13005	13476
23	339	TERCERO ARRIBA	DALMACIO VELEZ	1166	1265	1347	1407	1455
7	96A	ISCHILIN	OLIVARES SAN NICOLAS	464	544	574	571	579
6	88	GRAL SAN MARTIN	TIO PUJIO	2560	2759	2886	3107	3192
14	220	RIO PRIMERO	VILLA SANTA ROSA	5990	6315	6836	7267	7465
3	33A	COLON	COLONIA VICENTE AGÜERO	216	235	292	277	269
2	25A	CALAMUCHITA	CALMAYO	106	104	104	126	132
8	116A	JUAREZ CELMAN	PASO DEL DURAZNO	98	90	91	110	122
6	75	GRAL SAN MARTIN	AUSONIA	785	858	890	946	977
3	32	COLON	GENERAL PAZ	1588	1679	1795	1863	1973
13	191A	RIO CUARTO	MALENA	256	249	265	308	318
4	42	CRUZ DEL EJE	BAÑADO DE SOTO	582	576	560	711	722
13	183	RIO CUARTO	VICUÑA MACKENNA	7572	8167	8795	9141	9389
13	164	RIO CUARTO	BAIGORRIA	1465	1589	1642	1757	1816
17	249	ROQUE SAENZ PEÑA	LA CESIRA	1158	1269	1269	1399	1433
4	44	CRUZ DEL EJE	CRUZ DEL EJE	21087	22377	24341	25016	26084
20	305	SAN JUSTO	PORTEÑA	4168	4384	4683	4967	5155
1	10L	CAPITAL	VILLA EL LIBERTADOR	21629	23700	25144	25906	26710
2	17	CALAMUCHITA	EMBALSE	6044	6336	6604	7104	7463
19	268	SAN JAVIER	DOLORES	22840	23687	25603	27232	28139
20	290	SAN JUSTO	EL TIO	1544	1678	1698	1850	1901
13	186	RIO CUARTO	PUEBLO ALBERDI	21565	23034	24454	25649	26548
26	373	UNION	BALLESTEROS	3148	3298	3406	3673	3868
1	14P	CAPITAL	VILLA RIVERA INDARTE	2887	3335	3699	3697	3545
16	237A	RIO SEGUNDO	MANFREDI	768	785	830	918	941
6	83	GRAL SAN MARTIN	PASCO	1020	1107	1134	1195	1248
16	243	RIO SEGUNDO	RIO SEGUNDO	14763	15592	16871	17700	18052
1	12	CAPITAL	AVELLANEDA	7504	7941	8343	8703	9171
8	102	JUAREZ CELMAN	ALEJANDRO	4249	4479	4744	5040	5183
19	275	SAN JAVIER	SAN JOSE	1809	1889	1963	2119	2206
25	371	TULUMBA	TULUMBA	1560	1662	1758	1844	1899
5	72	GENERAL ROCA	VILLA VALERIA	2283	2399	2463	2687	2778
21	323	SANTA MARIA	DESPEÑADEROS	4891	5051	5335	5604	5951
20	278	SAN JUSTO	ALTOS DE CHIPION	1553	1643	1769	1853	1886
5	63	GENERAL ROCA	JOVITA	3623	3962	4119	4281	4398
2	25B	CALAMUCHITA	LOS MOLINOS	255	266	288	301	309
13	177	RIO CUARTO	LAS ACEQUIAS	2177	2241	2278	2569	2638
26	375	UNION	BELL VILLE	25942	27159	29090	30587	31325
20	282	SAN JUSTO	BRINKMANN	7261	7612	8151	8482	8759
1	7E	CAPITAL	MARQUES DE SOBREMONTE	13787	14704	15599	16154	16631
20	298	SAN JUSTO	LAS VARILLAS	12421	13235	14008	14687	14980
26	396	UNION	POSSE	6369	6757	7094	7503	7678
23	336	TERCERO ARRIBA	ALMAFUERTE	8813	9273	9832	10335	10624
1	11K	CAPITAL	VILLA GRAL URQUIZA	9402	10006	10701	11004	11327
1	10H	CAPITAL	PARQUE CAPITAL	10384	11042	11714	12249	12502
7	95	ISCHILIN	DEAN FUNES	16064	16880	17922	18352	19296
20	291	SAN JUSTO	FREYRE	5134	5502	5953	6152	6151
13	160	RIO CUARTO	ACHIRAS	2237	2290	2463	2611	2680
11	144	POCHO	CHANCANI	848	962	990	1010	1015
12	155A	PUNILLA	LOS COCOS	851	895	929	1022	1018
1	14N	CAPITAL	VILLA CORNU	3918	5431	6469	5269	4679
15	227	RIO SECO	RAYO CORTADO	623	613	632	700	743
1	6C	CAPITAL	GRAL PAZ	10155	10733	11160	11792	12107
12	159	PUNILLA	VALLE HERMOSO	4757	5123	5149	5416	5671
26	392	UNION	MORRISON	2931	3015	3108	3317	3492
14	213	RIO PRIMERO	OBISPO TREJO	2071	2173	2225	2407	2467
16	242	RIO SEGUNDO	RINCON	394	396	425	446	469
1	10J	CAPITAL	SANTA ISABEL	10608	11675	12297	12409	12620
1	11B	CAPITAL	DON BOSCO	5665	6389	6582	6708	6739
16	231	RIO SEGUNDO	CAPILLA DEL CARMEN	329	338	346	364	391
22	335	SOBREMONTE	CHAÑAR	2300	2348	2451	2548	2733
8	116	JUAREZ CELMAN	REDUCCION	1260	1290	1367	1425	1497
15	227C	RIO SECO	CHAÑAR VIEJO	172	210	209	207	204
1	10F	CAPITAL	MATIENZO	10837	11829	12203	12454	12833
9	134	MARCOS JUAREZ	MONTE BUEY	4752	5063	5174	5441	5623
1	7G	CAPITAL	PANAMERICANO	10883	11036	11682	12300	12869
9	133	MARCOS JUAREZ	MARCOS JUAREZ	20008	21440	22485	23149	23653
12	153	PUNILLA	LA CUMBRE	6029	6344	6570	7039	7126
4	55	CRUZ DEL EJE	SERREZUELA	2269	2307	2565	2662	2675
23	348	TERCERO ARRIBA	RIO TERCERO	36352	38592	40503	41933	42845
16	230	RIO SEGUNDO	CALCHIN	1876	1996	2056	2150	2211
13	182	RIO CUARTO	LAS VERTIENTES	790	835	894	908	931
13	161	RIO CUARTO	ADELIA MARIA	5482	5756	6039	6341	6453
6	74	GRAL SAN MARTIN	ARROYO CABRAL	2522	2543	2762	2890	2967
20	289	SAN JUSTO	EL FORTIN	1026	1092	1138	1212	1206
1	5D	CAPITAL	MALDONADO	9568	9548	10121	10703	11243
18	266	SAN ALBERTO	SAN VICENTE	1219	1270	1377	1404	1432
25	360A	TULUMBA	EL RODEO	207	202	217	243	243
13	191	RIO CUARTO	SAN BASILIO	2896	3036	3092	3266	3392
8	112	JUAREZ CELMAN	LA CARLOTA	9548	9888	10695	10962	11183
23	342	TERCERO ARRIBA	LAS PERDICES	3758	3962	4034	4278	4401
1	13F	CAPITAL	NUEVA ITALIA	6780	7141	7605	7815	7940
8	107	JUAREZ CELMAN	CARNERILLO	1648	1774	1796	1884	1929
13	184	RIO CUARTO	MOLDES	7003	7420	7829	8120	8195
20	310A	SAN JUSTO	SAN FRANCISCO SECC. NORTE	24016	25070	26071	27103	28054
7	99	ISCHILIN	QUILINO ESTACION	3607	3747	3922	4200	4210
1	4A	CAPITAL	PUEBLO LAS FLORES	15425	16459	17240	17256	17963
1	12F	CAPITAL	JOSE HERNANDEZ	17414	17950	18912	19645	20222
20	311	SAN JUSTO	SAN PEDRO	205	265	281	264	238
2	25	CALAMUCHITA	SAN AGUSTIN	2729	2794	2902	3066	3165
1	4	CAPITAL	NUEVA CORDOBA	18133	18305	19728	20287	21029
13	163	RIO CUARTO	ALPA CORRAL	1064	1086	1069	1215	1233
20	303	SAN JUSTO	MIRAMAR DE ANSENUZA (el DE ANSEUNZA se agrega en 2017)	1854	1869	2023	2081	2148
1	13J	CAPITAL	VILLA AZALAIS	27594	28602	29627	31065	31918
7	93	ISCHILIN	COPACABANA	309	283	310	347	357
26	381	UNION	CINTRA	1230	1258	1272	1350	1421
9	136	MARCOS JUAREZ	ROCA	2299	2285	2476	2587	2648
