fecha	provincia	tasa_natalidad
2000-01-01	argentina	19
2000-01-01	ciudad autonoma de buenos aires	14.3
2000-01-01	buenos aires	17.5
2000-01-01	catamarca	25.8
2000-01-01	cordoba	17.2
2000-01-01	corrientes	22.7
2000-01-01	chaco	25.8
2000-01-01	chubut	19.4
2000-01-01	entre rios	21.3
2000-01-01	formosa	25.7
2000-01-01	jujuy	22.6
2000-01-01	la pampa	18.1
2000-01-01	la rioja	22.6
2000-01-01	mendoza	19.2
2000-01-01	misiones	25.8
2000-01-01	neuquen	17.9
2000-01-01	rio negro	18.9
2000-01-01	salta	24
2000-01-01	san juan	22.7
2000-01-01	san luis	22.3
2000-01-01	santa cruz	19.6
2000-01-01	santa fe	16.9
2000-01-01	santiago del estero	21.6
2000-01-01	tucuman	22.6
2000-01-01	tierra del fuego	19.9
2001-01-01	argentina	18.2
2001-01-01	ciudad autonoma de buenos aires	13.9
2001-01-01	buenos aires	16.9
2001-01-01	catamarca	24.9
2001-01-01	cordoba	15.9
2001-01-01	corrientes	21.9
2001-01-01	chaco	22.2
2001-01-01	chubut	18.4
2001-01-01	entre rios	20.5
2001-01-01	formosa	22.4
2001-01-01	jujuy	23.1
2001-01-01	la pampa	17.2
2001-01-01	la rioja	20.5
2001-01-01	mendoza	19.1
2001-01-01	misiones	24.2
2001-01-01	neuquen	16.8
2001-01-01	rio negro	17.8
2001-01-01	salta	24.2
2001-01-01	san juan	23.7
2001-01-01	san luis	22.3
2001-01-01	santa cruz	19.8
2001-01-01	santa fe	16.2
2001-01-01	santiago del estero	21.1
2001-01-01	tucuman	21.1
2001-01-01	tierra del fuego	17.9
2002-01-01	argentina	18.3
2002-01-01	ciudad autonoma de buenos aires	13.6
2002-01-01	buenos aires	17
2002-01-01	catamarca	24.4
2002-01-01	cordoba	16.6
2002-01-01	corrientes	23.3
2002-01-01	chaco	24.9
2002-01-01	chubut	17.1
2002-01-01	entre rios	19.5
2002-01-01	formosa	25.1
2002-01-01	jujuy	22.1
2002-01-01	la pampa	16.7
2002-01-01	la rioja	21.4
2002-01-01	mendoza	16.9
2002-01-01	misiones	22.9
2002-01-01	neuquen	16.1
2002-01-01	rio negro	17.3
2002-01-01	salta	24.7
2002-01-01	san juan	22.3
2002-01-01	san luis	22
2002-01-01	santa cruz	19.2
2002-01-01	santa fe	16.7
2002-01-01	santiago del estero	22.1
2002-01-01	tucuman	22.6
2002-01-01	tierra del fuego	17.2
2003-01-01	argentina	18.4
2003-01-01	ciudad autonoma de buenos aires	14.2
2003-01-01	buenos aires	17.3
2003-01-01	catamarca	22.5
2003-01-01	cordoba	17.5
2003-01-01	corrientes	22.2
2003-01-01	chaco	20.9
2003-01-01	chubut	18.7
2003-01-01	entre rios	19.8
2003-01-01	formosa	25
2003-01-01	jujuy	20.3
2003-01-01	la pampa	18.3
2003-01-01	la rioja	21.2
2003-01-01	mendoza	17.5
2003-01-01	misiones	24.1
2003-01-01	neuquen	19.4
2003-01-01	rio negro	18.6
2003-01-01	salta	22
2003-01-01	san juan	22.2
2003-01-01	san luis	21.7
2003-01-01	santa cruz	21.9
2003-01-01	santa fe	17.3
2003-01-01	santiago del estero	17.8
2003-01-01	tucuman	21.8
2003-01-01	tierra del fuego	20.8
2004-01-01	argentina	19.3
2004-01-01	ciudad autonoma de buenos aires	14.9
2004-01-01	buenos aires	18.5
2004-01-01	catamarca	20.6
2004-01-01	cordoba	17.8
2004-01-01	corrientes	22.7
2004-01-01	chaco	25.1
2004-01-01	chubut	19.3
2004-01-01	entre rios	19.5
2004-01-01	formosa	26.5
2004-01-01	jujuy	21.3
2004-01-01	la pampa	17.4
2004-01-01	la rioja	21.1
2004-01-01	mendoza	18.4
2004-01-01	misiones	26.4
2004-01-01	neuquen	19.8
2004-01-01	rio negro	18.3
2004-01-01	salta	23.9
2004-01-01	san juan	22.5
2004-01-01	san luis	21.9
2004-01-01	santa cruz	22.4
2004-01-01	santa fe	17.6
2004-01-01	santiago del estero	19.7
2004-01-01	tucuman	21
2004-01-01	tierra del fuego	19.5
2005-01-01	argentina	18.5
2005-01-01	ciudad autonoma de buenos aires	14.5
2005-01-01	buenos aires	17.9
2005-01-01	catamarca	19.7
2005-01-01	cordoba	17.1
2005-01-01	corrientes	20.2
2005-01-01	chaco	22.6
2005-01-01	chubut	19.2
2005-01-01	entre rios	19
2005-01-01	formosa	23.5
2005-01-01	jujuy	19.9
2005-01-01	la pampa	16.9
2005-01-01	la rioja	20.8
2005-01-01	mendoza	18.8
2005-01-01	misiones	23
2005-01-01	neuquen	20
2005-01-01	rio negro	18.7
2005-01-01	salta	22.5
2005-01-01	san juan	21.4
2005-01-01	san luis	19.9
2005-01-01	santa cruz	22.9
2005-01-01	santa fe	16.3
2005-01-01	santiago del estero	21
2005-01-01	tucuman	19.9
2005-01-01	tierra del fuego	20.7
2006-01-01	argentina	17.9
2006-01-01	ciudad autonoma de buenos aires	14.6
2006-01-01	buenos aires	17.7
2006-01-01	catamarca	18.3
2006-01-01	cordoba	16.5
2006-01-01	corrientes	18.7
2006-01-01	chaco	19.6
2006-01-01	chubut	20
2006-01-01	entre rios	17.2
2006-01-01	formosa	21.4
2006-01-01	jujuy	18.4
2006-01-01	la pampa	16.5
2006-01-01	la rioja	19
2006-01-01	mendoza	19
2006-01-01	misiones	19.9
2006-01-01	neuquen	20.5
2006-01-01	rio negro	18.6
2006-01-01	salta	21
2006-01-01	san juan	20.7
2006-01-01	san luis	20.2
2006-01-01	santa cruz	23.5
2006-01-01	santa fe	15.8
2006-01-01	santiago del estero	20
2006-01-01	tucuman	18.5
2006-01-01	tierra del fuego	20.1
2007-01-01	argentina	17.8
2007-01-01	ciudad autonoma de buenos aires	14.1
2007-01-01	buenos aires	17.7
2007-01-01	catamarca	18.3
2007-01-01	cordoba	16.3
2007-01-01	corrientes	18.9
2007-01-01	chaco	18.4
2007-01-01	chubut	20.2
2007-01-01	entre rios	16.9
2007-01-01	formosa	21.1
2007-01-01	jujuy	18.6
2007-01-01	la pampa	16.2
2007-01-01	la rioja	18.4
2007-01-01	mendoza	19.3
2007-01-01	misiones	20.4
2007-01-01	neuquen	20.5
2007-01-01	rio negro	18.9
2007-01-01	salta	20.6
2007-01-01	san juan	20.8
2007-01-01	san luis	19.3
2007-01-01	santa cruz	23.8
2007-01-01	santa fe	15.7
2007-01-01	santiago del estero	19.4
2007-01-01	tucuman	19.7
2007-01-01	tierra del fuego	20.8
2008-01-01	argentina	18.8
2008-01-01	ciudad autonoma de buenos aires	15.1
2008-01-01	buenos aires	18.6
2008-01-01	catamarca	18.6
2008-01-01	cordoba	17.4
2008-01-01	corrientes	19.7
2008-01-01	chaco	20.8
2008-01-01	chubut	21.4
2008-01-01	entre rios	17.2
2008-01-01	formosa	22.6
2008-01-01	jujuy	19.1
2008-01-01	la pampa	16.5
2008-01-01	la rioja	19
2008-01-01	mendoza	20.2
2008-01-01	misiones	23.1
2008-01-01	neuquen	21
2008-01-01	rio negro	19.9
2008-01-01	salta	21.4
2008-01-01	san juan	20.7
2008-01-01	san luis	19.3
2008-01-01	santa cruz	25
2008-01-01	santa fe	16.9
2008-01-01	santiago del estero	20.5
2008-01-01	tucuman	19.9
2008-01-01	tierra del fuego	20.8
2009-01-01	argentina	18.6
2009-01-01	ciudad autonoma de buenos aires	14.6
2009-01-01	buenos aires	18.4
2009-01-01	catamarca	17.4
2009-01-01	cordoba	17.4
2009-01-01	corrientes	19.9
2009-01-01	chaco	20.4
2009-01-01	chubut	21.3
2009-01-01	entre rios	17.5
2009-01-01	formosa	21.9
2009-01-01	jujuy	19.2
2009-01-01	la pampa	16.3
2009-01-01	la rioja	17.9
2009-01-01	mendoza	19.7
2009-01-01	misiones	23.7
2009-01-01	neuquen	20.9
2009-01-01	rio negro	19.6
2009-01-01	salta	21
2009-01-01	san juan	20.6
2009-01-01	san luis	18.2
2009-01-01	santa cruz	25.2
2009-01-01	santa fe	16.5
2009-01-01	santiago del estero	21.9
2009-01-01	tucuman	19.1
2009-01-01	tierra del fuego	20.2
2010-01-01	argentina	18.7
2010-01-01	ciudad autonoma de buenos aires	14.9
2010-01-01	buenos aires	18.9
2010-01-01	catamarca	16.9
2010-01-01	cordoba	17.2
2010-01-01	corrientes	19.8
2010-01-01	chaco	21.2
2010-01-01	chubut	21.2
2010-01-01	entre rios	17.4
2010-01-01	formosa	21.1
2010-01-01	jujuy	19.2
2010-01-01	la pampa	16.2
2010-01-01	la rioja	17.2
2010-01-01	mendoza	19.3
2010-01-01	misiones	22.2
2010-01-01	neuquen	21.6
2010-01-01	rio negro	20
2010-01-01	salta	21.9
2010-01-01	san juan	19.8
2010-01-01	san luis	17.4
2010-01-01	santa cruz	26
2010-01-01	santa fe	16.2
2010-01-01	santiago del estero	19.9
2010-01-01	tucuman	20.1
2010-01-01	tierra del fuego	18.8
2011-01-01	argentina	18.5
2011-01-01	ciudad autonoma de buenos aires	14.8
2011-01-01	buenos aires	18.8
2011-01-01	catamarca	16
2011-01-01	cordoba	16.9
2011-01-01	corrientes	19.9
2011-01-01	chaco	22.6
2011-01-01	chubut	20.7
2011-01-01	entre rios	17.2
2011-01-01	formosa	21.6
2011-01-01	jujuy	19.6
2011-01-01	la pampa	15.6
2011-01-01	la rioja	17.4
2011-01-01	mendoza	19.2
2011-01-01	misiones	19.3
2011-01-01	neuquen	19.6
2011-01-01	rio negro	19.8
2011-01-01	salta	21.7
2011-01-01	san juan	19.9
2011-01-01	san luis	16.7
2011-01-01	santa cruz	25
2011-01-01	santa fe	16.4
2011-01-01	santiago del estero	20.2
2011-01-01	tucuman	19.5
2011-01-01	tierra del fuego	18.6
2012-01-01	argentina	17.9
2012-01-01	ciudad autonoma de buenos aires	14.2
2012-01-01	buenos aires	18.1
2012-01-01	catamarca	15
2012-01-01	cordoba	16.5
2012-01-01	corrientes	18.6
2012-01-01	chaco	20.2
2012-01-01	chubut	20.2
2012-01-01	entre rios	16.7
2012-01-01	formosa	21
2012-01-01	jujuy	18
2012-01-01	la pampa	15.4
2012-01-01	la rioja	17
2012-01-01	mendoza	18.4
2012-01-01	misiones	22.3
2012-01-01	neuquen	19.1
2012-01-01	rio negro	19.4
2012-01-01	salta	20.2
2012-01-01	san juan	19.6
2012-01-01	san luis	16
2012-01-01	santa cruz	24
2012-01-01	santa fe	16.3
2012-01-01	santiago del estero	17.9
2012-01-01	tucuman	18.7
2012-01-01	tierra del fuego	19.2
2013-01-01	argentina	17.9
2013-01-01	ciudad autonoma de buenos aires	14.3
2013-01-01	buenos aires	17.8
2013-01-01	catamarca	16.9
2013-01-01	cordoba	16
2013-01-01	corrientes	19
2013-01-01	chaco	19.9
2013-01-01	chubut	18.5
2013-01-01	entre rios	17.3
2013-01-01	formosa	21
2013-01-01	jujuy	18.5
2013-01-01	la pampa	16.8
2013-01-01	la rioja	17.5
2013-01-01	mendoza	18.7
2013-01-01	misiones	22
2013-01-01	neuquen	18.7
2013-01-01	rio negro	17.9
2013-01-01	salta	21.1
2013-01-01	san juan	20.6
2013-01-01	san luis	16.7
2013-01-01	santa cruz	19.7
2013-01-01	santa fe	16.9
2013-01-01	santiago del estero	18.8
2013-01-01	tucuman	18.9
2013-01-01	tierra del fuego	19.8
2014-01-01	argentina	18.2
2014-01-01	ciudad autonoma de buenos aires	14.3
2014-01-01	buenos aires	17.9
2014-01-01	catamarca	17.4
2014-01-01	cordoba	16.8
2014-01-01	corrientes	19.8
2014-01-01	chaco	20.2
2014-01-01	chubut	17.8
2014-01-01	entre rios	17.8
2014-01-01	formosa	21.8
2014-01-01	jujuy	19.5
2014-01-01	la pampa	16.5
2014-01-01	la rioja	17.3
2014-01-01	mendoza	19.4
2014-01-01	misiones	23.4
2014-01-01	neuquen	19.5
2014-01-01	rio negro	17.9
2014-01-01	salta	21.6
2014-01-01	san juan	21.3
2014-01-01	san luis	16.9
2014-01-01	santa cruz	19.8
2014-01-01	santa fe	17.2
2014-01-01	santiago del estero	19.8
2014-01-01	tucuman	19.3
2014-01-01	tierra del fuego	20.5
2015-01-01	argentina	17.9
2015-01-01	ciudad autonoma de buenos aires	13.7
2015-01-01	buenos aires	17.3
2015-01-01	catamarca	17.2
2015-01-01	cordoba	16.4
2015-01-01	corrientes	19.3
2015-01-01	chaco	22.7
2015-01-01	chubut	17.4
2015-01-01	entre rios	17.8
2015-01-01	formosa	21.3
2015-01-01	jujuy	18.2
2015-01-01	la pampa	15.17
2015-01-01	la rioja	17.1
2015-01-01	mendoza	18.8
2015-01-01	misiones	22.8
2015-01-01	neuquen	19.1
2015-01-01	rio negro	18.2
2015-01-01	salta	21.3
2015-01-01	san juan	20.5
2015-01-01	san luis	17
2015-01-01	santa cruz	19.8
2015-01-01	santa fe	16.9
2015-01-01	santiago del estero	20.5
2015-01-01	tucuman	19
2015-01-01	tierra del fuego	19.9
2016-01-01	argentina	16.7
2016-01-01	ciudad autonoma de buenos aires	13.1
2016-01-01	buenos aires	16.2
2016-01-01	catamarca	16.7
2016-01-01	cordoba	15.7
2016-01-01	corrientes	18.5
2016-01-01	chaco	19.1
2016-01-01	chubut	16.6
2016-01-01	entre rios	16.6
2016-01-01	formosa	19.4
2016-01-01	jujuy	16.8
2016-01-01	la pampa	15.1
2016-01-01	la rioja	16.6
2016-01-01	mendoza	17.5
2016-01-01	misiones	21
2016-01-01	neuquen	17.9
2016-01-01	rio negro	16.8
2016-01-01	salta	19.4
2016-01-01	san juan	18.8
2016-01-01	san luis	15.5
2016-01-01	santa cruz	18.6
2016-01-01	santa fe	16.3
2016-01-01	santiago del estero	18.7
2016-01-01	tucuman	17.5
2016-01-01	tierra del fuego	18.1
2017-01-01	argentina	16
2017-01-01	ciudad autonoma de buenos aires	11.7
2017-01-01	buenos aires	15.4
2017-01-01	catamarca	15.8
2017-01-01	cordoba	15
2017-01-01	corrientes	18.3
2017-01-01	chaco	19.8
2017-01-01	chubut	15.3
2017-01-01	entre rios	16.3
2017-01-01	formosa	19.6
2017-01-01	jujuy	15.8
2017-01-01	la pampa	14.3
2017-01-01	la rioja	15.6
2017-01-01	mendoza	16.3
2017-01-01	misiones	21.1
2017-01-01	neuquen	16.3
2017-01-01	rio negro	16
2017-01-01	salta	19.7
2017-01-01	san juan	18.1
2017-01-01	san luis	14.8
2017-01-01	santa cruz	17
2017-01-01	santa fe	15.4
2017-01-01	santiago del estero	18.8
2017-01-01	tucuman	16.7
2017-01-01	tierra del fuego	16.9
2018-01-01	argentina	15.4
2018-01-01	ciudad autonoma de buenos aires	11.6
2018-01-01	buenos aires	14.6
2018-01-01	catamarca	16.4
2018-01-01	cordoba	14.5
2018-01-01	corrientes	18
2018-01-01	chaco	21
2018-01-01	chubut	14.3
2018-01-01	entre rios	15.6
2018-01-01	formosa	19.8
2018-01-01	jujuy	15.7
2018-01-01	la pampa	13.5
2018-01-01	la rioja	14.8
2018-01-01	mendoza	15.4
2018-01-01	misiones	20.2
2018-01-01	neuquen	15.6
2018-01-01	rio negro	14.6
2018-01-01	salta	18.2
2018-01-01	san juan	17.7
2018-01-01	san luis	14.2
2018-01-01	santa cruz	14.7
2018-01-01	santa fe	14.8
2018-01-01	santiago del estero	18.9
2018-01-01	tucuman	16.9
2018-01-01	tierra del fuego	16.3
