min	seg	segundos	titulo	views	MoK	visualizaciones	time
12	43	763	ORIGINAL ARGENTINIAN CROISSANTS (MEDIALUNAS)	3.9	1000000	3900000	2 years ago
21	44	1304	COCINA UN DÍA PARA COMER TODA LA SEMANA ¡SALUDABLE! - #1000PREP	2.3	1000000	2300000	1 year ago
10	9	609	ARGENTINIAN BREAD PUDDING (Spanish-budín de pan)	2.2	1000000	2200000	2 years ago
9	35	575	How to make HOMEMADE SUSHI step by step - few kinds- / Paulina Cocina	1.8	1000000	1800000	3 years ago
8	10	490	Orange & Apple cake 2-2-2-2 / Easy cakes ft. Tenedor libre	1.6	1000000	1600000	2 years ago
5	46	346	PAPAS FRITAS SIN ACEITE - ¡Gran truco! (patatas fritas)	1.6	1000000	1600000	2 years ago
4	52	292	How to do Meringue step by step: 8 tricks - Paulina Cocina	1.5	1000000	1500000	3 years ago
4	3	243	How to make homemade yogurt in 2 EASY STEPS - Paulina Cocina	1.5	1000000	1500000	4 years ago
8	16	496	EASY HOMEMADE NUTELLA (Spanish)	1.4	1000000	1400000	2 years ago
15	24	924	PAN ÁRABE CON Y SIN HORNO (pan pita) / Cómo hacer pan	1.3	1000000	1300000	2 years ago
8	42	522	Como hacer postre en copa MUY FÁCIL / Recetas de postres fáciles	1.2	1000000	1200000	2 years ago
19	57	1197	6 RECETAS FÁCILES PARA GUARDAR SI VIVÍS SOLO/A - Ft. El Demente	1.1	1000000	1100000	1 year ago
4	12	252	Homemade flax bread: WITHOUT flour, gluten free and diet! A great celiac bread recipe (IN SPANISH)	1.1	1000000	1100000	4 years ago
11	10	670	5 COMIDAS CON 1 POLLO: Para congelar y tener a mano - #1000PREP	1	1000000	1000000	1 year ago
12	38	758	How to make PANCAKES and crepes with caramel: 6 Tricks you have to know - Paulina Cocina	1	1000000	1000000	3 years ago
19	57	1197	HOW TO STORE VEGETABLES SO THEY LAST LONGER - #1000PREP (Spanish)	1	1000000	1000000	6 months ago
13	7	787	CÓMO HACER GUISO DE LENTEJAS (CON CARNE)	992	1000	992000	2 years ago
9	24	564	INTENTÉ HACER UN PASTEL DE CUPCAKES ¡MIren cómo me quedó!	936	1000	936000	1 year ago
11	56	716	ENSALADA RUSA COMÚN Y NIVEL DIOS (Ensaladilla)	929	1000	929000	1 year ago
8	40	520	ALBONDIGAS DE BERENJENAS (una locura de ricas) / Recetas vegetarianas	929	1000	929000	2 years ago
14	18	858	How to make Easter thread EASY! / Easter recipe	927	1000	927000	2 years ago
13	18	798	HOW TO MAKE PERFECT SPANISH TORTILLA (9 TIPS) / Potato omelette	893	1000	893000	2 years ago
50	45	3045	LA MESA DE PAULINA #01: Faraona, Ori de mie, Daiana Hernandez, Lucas Spadafora, Ramita, Ann Look	808	1000	808000	5 months ago
17	23	1043	HACER TUS PROPIAS VERDURAS CONGELADAS!!! (incluye papas fritas y pasta de ajo)	794	1000	794000	11 months ago
10	2	602	BASIC SPONGE CAKE - foolproof! (Spanish)	790	1000	790000	6 months ago
14	2	842	CÓMO HACER CALDITOS CASEROS!!! (caldo de pollo casero deshidratado para tener siempre a mano!)	785	1000	785000	2 years ago
6	25	385	Homemade peanut butter 5 MINUTES... ¡AND I BREAK a bender! - Paulina Cocina	752	1000	752000	3 years ago
10	1	601	Dough for pancakes WITHOUT flour or sugar / Light Desserts	748	1000	748000	2 years ago
7	28	448	EL MILAGRO DE MULTIPLICACIÓN DE LA MOZZARELLA, ¿FUNCIONA?	748	1000	748000	1 year ago
7	47	467	ÑOQUIS DE PAPA FÁCILES	742	1000	742000	1 year ago
13	51	831	Cómo hacer TARTA DE ACELGA tipo pascualina: CREMOSA Y RICA	742	1000	742000	2 years ago
10	23	623	MASA PARA TACOS (tipo rapiditas): tortillas de harina para tacos, fajitas o wraps	735	1000	735000	2 years ago
13	10	790	BOMBONES RELLENOS: muchos, fáciles, rápidos!	730	1000	730000	2 years ago
15	47	947	7 RECETAS DE DESAYUNOS: EN 1 HORA, TODA LA SEMANA - #1000Prep	727	1000	727000	1 year ago
6	25	385	PASTA for salad cake 9-9-9 ¡GREAT and without butter! - Paulina Cocina	727	1000	727000	3 years ago
6	46	406	Mayonesa fácil SIN HUEVO (y técnica fácil para hacer mayonesa)	726	1000	726000	2 years ago
14	8	848	Cómo hacer tarta de atún PASO A PASO (Receta tipo empanada gallega)	649	1000	649000	2 years ago
10	48	648	YOGURT GRIEGO CASERO - Sin máquinas	637	1000	637000	4 months ago
18	18	1098	HOMEMADE POTATO BREAD (SPANISH)	622	1000	622000	2 years ago
8	18	498	HAMBURGUESAS DE LENTEJAS ESPECTACULARES! (hamburguesa vegetariana)	614	1000	614000	1 year ago
7	19	439	BROWNIE EN 4 PASOS (con trucos)	613	1000	613000	10 months ago
11	45	705	NO sugar sponge cake / Diabetics recipes	604	1000	604000	3 years ago
10	7	607	RECETAS RÁPIDAS: 3 Antojos ft. Bajoneando por hay (Magias Bajoneras)	601	1000	601000	1 year ago
11	37	697	STRAWBERRY PIE	582	1000	582000	1 year ago
11	21	681	HOMEMADE CHICKEN SAUSAGES (Spanish)	572	1000	572000	5 months ago
5	12	312	¿Cuánto es una taza de harina en GRAMOS? Tabla de equivalencias: tazas, cucharas y gramos.	570	1000	570000	2 years ago
1	6	66	53	550	1000	550000	4 months ago
21	8	1268	BATCH COOKING FOR THE WHOLE WEEK!!! - The mind blowing mealprep	545	1000	545000	1 month ago
6	17	377	DESAYUNO CON AVENA LISTO EN MINUTOS! Ideal para llevar al trabajo (overnight oats)	532	1000	532000	1 year ago
11	15	675	CÓMO HACER CHIPA (receta con trucos)	526	1000	526000	1 year ago
10	1	601	COCONUT CARAMEL PIE: HOW I MAKE MY FAVORITE SWEET PIE (SPANISH)	511	1000	511000	2 years ago
8	43	523	Easy chicken breasts	510	1000	510000	1 year ago
8	3	483	How to make Dolca banana / Argentinian sweet & candies with Matias Chavero	509	1000	509000	2 years ago
6	13	373	How to make liquid caramel sauce (easy!!!) - spanish	495	1000	495000	2 years ago
5	2	302	How to make sweet bread / 4 steps / Christmas easy recipes	494	1000	494000	3 years ago
33	51	2031	3 RECETAS DE TARTAS SALADAS - Para cualquier día!	493	1000	493000	1 year ago
10	56	656	REACTING TO COOKING HACKS Pt. 1 (Spanish)	486	1000	486000	4 months ago
13	27	807	MEAL PREP CON CARNE: 8 cenas en 2 horas / #1000Prep	481	1000	481000	1 year ago
4	54	294	How to make homemade sausages ¡WITH OUT machine! - Paulina Cocina	478	1000	478000	3 years ago
7	44	464	Apple skillet cake (EASY apple cake in a frying pan)	477	1000	477000	3 years ago
3	31	211	Cómo hacer crema pastelera: ASÍ SIEMPRE SALE BIEN (Receta de crema pastelera fácil)	476	1000	476000	2 years ago
10	1	601	POSTRE FÁCIL DE VAINILLAS Y DULCE DE LECHE	471	1000	471000	9 months ago
5	8	308	Roast beef with potatoes / Grilled beef: 10 TIPS - Paulina cocina	466	1000	466000	5 years ago
10	1	601	5 RECETAS CON CARNE PARA GUARDAR	456	1000	456000	1 year ago
15	55	955	LA PICADA MÁS ECONÓMICA Y SALUDABLE - 2 Mangos edición Mundial Rusia 2018	447	1000	447000	1 year ago
8	45	525	PASTA FROLA EN 3 PASOS (fácil y con trucos)	445	1000	445000	1 year ago
14	7	847	COMO HACER PASTA: La biblia de la pasta casera, con y sin máquina, rellenas y no.	430	1000	430000	1 year ago
6	5	365	HOMEMADE CONDENSED MILK - Very easy! (Spanish)	428	1000	428000	3 months ago
8	34	514	HACER CREMA CHANTILLY CON LECHE... ¿SE PUEDE?	427	1000	427000	11 months ago
8	41	521	BOLAS DE FRAILE: fritas y al horno (facturas caseras)	420	1000	420000	1 year ago
6	44	404	CHEESECAKE JAPONÉS SALE MAL	399	1000	399000	1 year ago
7	34	454	CÓMO HACER QUESO CASERO: MASCARPONE Fácil y más económico (Quesos caseros)	392	1000	392000	2 years ago
5	21	321	PAPAS AL HORNO CROCANTES NIVEL DIOS	391	1000	391000	2 years ago
9	45	585	GALLETITAS FÁCILES 3-2-1 ¡Las galletas más ricas del mundo! ft. Vainilla Crocante	385	1000	385000	1 year ago
3	22	202	Receta de Sopa Paraguaya - Paulina Cocina T04 #10	381	1000	381000	4 years ago
3	33	213	Papas a la Crema Gratinadas (patatas) - Paulina Cocina T04 #05	381	1000	381000	4 years ago
23	22	1402	COMIDA PARAGUAYA: PROBÉ DE TODO Y CASI EXPLOTO ft. Alex Express	364	1000	364000	10 months ago
8	48	528	REPULGUE DE EMPANADAS PASO A PASO (6 TIPOS... y jamón y queso)	361	1000	361000	2 years ago
8	38	518	Como hacer postre Balcarce (Postre sin horno muy fácil!!!)	360	1000	360000	2 years ago
49	3	2943	LA MESA DE PAULINA #04:Angie Velasco,Marito Baracus,Maga Tajes, Kenji, Martin Gallego y Nati Maldini	360	1000	360000	2 months ago
7	41	461	HOMEMADE ARGENTINIAN SWEETS (ft. Marito Baracus) - spanish	359	1000	359000	7 months ago
10	38	638	Merengue SIN huevo ¿con agua de garbanzos? ¿DE VERDAD? #PuedeFallar	357	1000	357000	2 years ago
20	50	1250	9 DIY IDEAS FOR A HARRY POTTER BIRTHDAY PARTY (Spanish)	348	1000	348000	3 months ago
14	31	871	VIANDAS: 6 Comidas para llevar al trabajo, escuela, etc. #1000Prep	347	1000	347000	1 year ago
10	2	602	Argentinan TORTAS FRITAS recipe (Spanish)	342	1000	342000	2 years ago
13	40	820	MATAMBRE ARROLLADO: TODO LO QUE TENÉS QUE SABER	337	1000	337000	10 months ago
14	1	841	Easy and healthy meal prep: 5 different dishes	336	1000	336000	1 year ago
3	18	198	Homemade brownies with no oven / No oven dessert	330	1000	330000	5 years ago
11	45	705	Torta de chocolate SIN HORNO, muy fácil / Recetas de tortas - Paulina Cocina	329	1000	329000	3 years ago
13	48	828	ARGENTINIAN POTATO PIE - #Paulina1Millón (spanish)	327	1000	327000	6 months ago
6	50	410	PRUEBO 2 TRUCOS PARA LIMPIAR OLLAS - #PuedeFallar	322	1000	322000	1 year ago
8	16	496	Cómo hacer helado SIN AZÚCAR // Receta de postres saludables - Paulina Cocina	319	1000	319000	2 years ago
16	9	969	3 PLATOS SÚPER ECONÓMICOS - #2Mangos	318	1000	318000	1 year ago
12	36	756	SOPAS: 5 cremas de verduras para todos los días	318	1000	318000	1 year ago
39	54	2394	INTENTO HACER UNA CENA EN PASOS PARA 15!!!	315	1000	315000	7 months ago
7	12	432	Tarta de brocoli / Recetas de tartas saladas - Paulina Cocina	315	1000	315000	3 years ago
9	47	587	Cómo hacer pan INTEGRAL casero FÁCIL / Recetas de pan integral - Paulina Cocina	314	1000	314000	2 years ago
42	14	2534	LA MESA DE PAULINA #03: María Becerra, Fran MG, Papri, Mariano Bondar, Niko Bizarro y Yoana Marlen	311	1000	311000	3 months ago
10	1	601	REACTING TO MORE COOKING HACKS (Spanish)	310	1000	310000	3 months ago
3	5	185	How to make mini pancakes: ¡FAST!: Corn mini pancakes / Corn - Paulina cocina	296	1000	296000	4 years ago
16	47	1007	5 RECETAS CON POLLO PARA GUARDAR - #1000Prep	295	1000	295000	1 year ago
6	43	403	MAGDALENAS FÁCILES Y RÁPIDAS (de limón)	286	1000	286000	1 year ago
5	40	340	How to make homemade Bread: great for begginers / Homemade Bread recipes - Paulina cocina	285	1000	285000	3 years ago
9	32	572	How to make PERFECT bechamel sauce + broccoli pasta (spanish)	283	1000	283000	2 years ago
7	23	443	Receta de MANTECOL casero - Paulina Cocina ft. Matías Chavero (¡golosinas argentinas!)	270	1000	270000	2 years ago
9	20	560	TOSTADA FRANCESA (común y NIVEL DIOS)	265	1000	265000	1 year ago
11	36	696	GOLDEN CRESCENT ROLLS RECIPE IN ONLY 3 STEPS (Spanish)	257	1000	257000	4 months ago
11	35	695	10 IDEAS INCREÍBLES PARA MI COCINA NUEVA - La cocina de Paulina #02	253	1000	253000	2 years ago
12	58	778	5 MARINATED CHICKEN AND PORK RECIPES - MEAL PREP (Spanish)	253	1000	253000	4 months ago
12	46	766	REACTING TO MY FIRST VIDEO - #Paulina1Millón (Spanish)	252	1000	252000	6 months ago
10	52	652	NO SUGAR strawberrys jam or marmolade / Diabetics suitable recipes - Paulina Cocina	251	1000	251000	3 years ago
18	3	1083	50 THINGS ABOUT ME - #Paulina1Millón (spanish)	249	1000	249000	6 months ago
16	20	980	2 INEXPENSIVE DISHES - #2MANGOS feat. PILOPI (spanish)	249	1000	249000	6 months ago
10	1	601	How to make AREPAS: Gluten free recipe.	249	1000	249000	2 years ago
9	39	579	SÚPER HAUL DE COMPRAS EN AMAZON PARA MI COCINA! - La Cocina de Paulina 10	248	1000	248000	1 year ago
9	33	573	PASTA CON ATÚN Y 9 cosas que tenés que saber sí o sí sobre las pastas	247	1000	247000	1 year ago
16	53	1013	WHAT TO EAT IN CÓRDOBA CAPITAL (Spanish)	246	1000	246000	2 months ago
3	36	216	MUFFINS DE VAINILLA re fáciles	246	1000	246000	1 year ago
8	23	503	RISOTTO PASO A PASO (con trucos)	245	1000	245000	1 year ago
10	9	609	TORTA GALESA EN 5 PASOS: la torta que no envejece	243	1000	243000	1 year ago
4	58	298	Homemade Morocco bite / Homemade groseries	239	1000	239000	3 years ago
3	30	210	Mc. Donald's kind Ice Cream recipe (easy ice cream for sundae or mc flurry)	236	1000	236000	3 years ago
8	58	538	BIFES A LA CRIOLLA: cena rápida, fácil... ¡y sin ensuciar!!!	235	1000	235000	2 years ago
6	31	391	PAN SIN HARINA: el famoso PAN NUBE (pan sin gluten)	233	1000	233000	1 year ago
10	1	601	Recetas para fiestas infantiles / Recetas para cumpleaños - Paulina Cocina	232	1000	232000	2 years ago
10	13	613	Budín de chocolate HÚMEDO y fácil ft. Frutilla Picante	231	1000	231000	2 years ago
6	5	365	PURÉ DE PAPAS NIVEL DIOS (Aligot)	230	1000	230000	1 year ago
21	38	1298	I MADE ARGENTINIAN BBQ FOR THE FIRST TIME! - step by step (spanish)	229	1000	229000	7 months ago
9	51	591	¿Milanesas al horno crocantes CON MENOS ACEITE? - 2 TRUCOS para milanesas MÁS SANAS #PuedeFallar	228	1000	228000	2 years ago
9	3	543	HUEVO DORADO: ¿SÍ O NO? (Huevo duro de un solo color) - Puede fallar	227	1000	227000	2 years ago
30	5	1805	PROYECTO LOMITO COMPLETO - Cómo hacer fiambre (lomito ahumado)	226	1000	226000	1 year ago
9	9	549	CORNSTARCH CAKE WITH NO GLUTEN (Spanish)	227	1000	227000	5 months ago
7	26	446	Gratin pasta with jam and chesse very EASY! / Pasta recipes	226	1000	226000	3 years ago
6	12	372	Breaded meat of chickpeas / Healthy recipes	222	1000	222000	3 years ago
10	1	601	RECETA DE QUESO FRESCO CASERO ¡Me encanta!	222	1000	222000	2 years ago
14	7	847	EASY LUNCHES TO BRING TO WORK	221	1000	221000	7 months ago
13	9	789	Receta de LOCRO en 6 pasos - Paulina Cocina	219	1000	219000	3 years ago
3	59	239	Blender carrot cake / blender cakes	218	1000	218000	3 years ago
1	43	103	How to make instant mashed potatoes - Paulina Cocina	218	1000	218000	5 years ago
8	2	482	REACTING TO COOKING GADGETS - Millennials discover potato peelers	217	1000	217000	2 months ago
9	38	578	TORTA EN TAZA DE CHOCOLATE: sin azúcar y MUY fácil!	216	1000	216000	1 year ago
14	45	885	Cómo hacer bondiola curada / fiambre 05: preparación para el secado / #ProyectoMondiola	215	1000	215000	4 years ago
7	18	438	TORTA DE CHOCOLATE... ¡CON LENTEJAS! ¿ES RICA?	209	1000	209000	1 year ago
7	51	471	FRIED EGGS, WITH AND WITHOUT OIL (SPANISH)	203	1000	203000	1 month ago
9	40	580	Cómo hacer flan SIN AZÚCAR al microondas / Receta de flan fácil - Paulina Cocina	202	1000	202000	2 years ago
15	20	920	3 TURRONES FÁCILES Y ECONÓMICOS (turrones navideños)	203	1000	203000	9 months ago
4	0	240	Homemade lactal bread in 4 steps - Paulina cocina	200	1000	200000	3 years ago
8	4	484	HOMEMADE FLAN RECIPE - with caramel! (Spanish)	197	1000	197000	4 months ago
10	1	601	POTATO CROQUETTES WITH 6 DIFFERENT STUFFINGS	196	1000	196000	4 months ago
6	43	403	15 ALIMENTOS QUE ESTÁS TIRANDO Y PUEDES APROVECHAR	194	1000	194000	1 year ago
1	55	115	MILK FOAM for the coffee WITHOUT machine - Paulina Cocina	190	1000	190000	3 years ago
44	48	2688	PROYECTO MONDIOLA COMPLETO: cómo curar una bondiola en sal día por día (fiambre casero)	189	1000	189000	2 years ago
6	55	415	No sugar candies	189	1000	189000	2 years ago
11	5	665	¿Es una buena cocina? Esto es TODO lo que hay que saber	185	1000	185000	2 years ago
6	35	395	Homemade cereal bars, very easy: 2 ingredients, without oven!!!	184	1000	184000	3 years ago
1	38	98	How to keep fresh the parsley (Cooking tip)	183	1000	183000	5 years ago
12	38	758	VEGGIE FRITTERS - 2 recipes: spinach and carrot (Spanish)	183	1000	183000	6 months ago
3	40	220	VITEL TONÉ recipe for christmas: How to do vitel toné very easy.	181	1000	181000	3 years ago
5	21	321	Grilled Steak / 10 TIPS / Meat recipes	181	1000	181000	4 years ago
14	43	883	POPCORN PARTY FOR GAME OF THRONES FINALE (5 different types of popcorn) - Spanish	181	1000	181000	4 months ago
7	1	421	NUGGETS DE POLLO CASEROS: más saludables, económicos y ricos	180	1000	180000	1 year ago
11	17	677	MEALPREP: 6 COMIDAS PARA GUARDAR CON LENTEJAS #1000PREP	180	1000	180000	1 year ago
10	19	619	Receta de Tarta Mousse sin azúcar y sin horno // Tarta de CHOCOLATE para diabéticos - Paulina Cocina	176	1000	176000	2 years ago
13	57	837	3 SAVOURY TART RECIPES (Spanish)	176	1000	176000	3 months ago
13	12	792	¡CAPÍTULO FINAL! - La Cocina de Paulina ft. La Faraona (Martín Cirio)	175	1000	175000	1 year ago
4	5	245	Homemade pizza NO oven NO yeast -Paulina Cocina	174	1000	174000	3 years ago
5	23	323	INTENTO HACER UNA TORTA CON COCA COLA, MIREN A QUÉ SABE.	170	1000	170000	1 year ago
6	19	379	BIZCOCHITOS DE GRASA DEL VAGO: 2 ingredientes, 2 pasos - ¡Para el día de la madre!!!	169	1000	169000	2 years ago
12	23	743	6 BEST SAUCE IDEAS FOR ALL KINDS OF FOOD (Spanish)	167	1000	167000	3 months ago
10	51	651	Cornstarch cookies filled with caramel (Spanish)	166	1000	166000	2 months ago
10	11	611	TORTA HELADA FÁCIL (Postre helado con pionono)	166	1000	166000	1 year ago
3	26	206	Recetas de pastas: Malfatti ¡Pastas caseras SIN amasar! - Paulina Cocina	166	1000	166000	4 years ago
13	23	803	ENGLISH MUFFINS - Skillet Bread Recipe (Spanish)	165	1000	165000	5 months ago
1	59	119	Salsa para pizza ¡imposible más fácil! - Paulina Cocina	162	1000	162000	3 years ago
11	56	716	ASÍ COMO YO	160	1000	160000	1 year ago
11	19	679	STOP EATING MEAT! - The effects of beef production in the environment	158	1000	158000	4 weeks ago
11	10	670	POSTRE ECONÓMICO Y FÁCIL - #2MANGOS	157	1000	157000	11 months ago
12	24	744	MENÚ PARA DOS X 50 PESOS !!! - #2Mangos (2,5 dólares)	155	1000	155000	1 year ago
12	11	731	CANAPÉS FÁCILES Y RÁPIDOS (varios tipos)	155	1000	155000	1 year ago
3	49	229	How to do Mate: What to do and what Not to / Argentinian traditional drink - Paulina Cocina	153	1000	153000	5 years ago
8	25	505	THE 20 TBSP APPLE 🍎CAKE - A really easy cake recipe to never forget (Spanish)	157	1000	157000	1 week ago
11	29	689	REACTING TO ASIAN STREET FOOD - and investigating about Taro (Spanish)	150	1000	150000	2 months ago
12	9	729	CREAMY BUTTERNUT SQUASH SOUP: 3 WAYS ft. DALMA MARADONA (Spanish)	150	1000	150000	3 months ago
2	34	154	How to cook vegetables (spinach, chard and others)	149	1000	149000	4 years ago
10	19	619	HUEVOS DE PASCUA: fácil, para principiantes, salen bien a la primera	148	1000	148000	1 year ago
10	26	626	Tallarines con espinaca y salsa blanca (recetas rápidas) - Paulina Cocina	149	1000	149000	3 years ago
16	40	1000	MENÚ ABUNDANTE PARA 2 POR $50 - #2Mangos ft. Matias Chavero	147	1000	147000	1 year ago
14	25	865	SWEET AND SOUR CHICKEN IN 30 MINUTES! (Spanish)	147	1000	147000	6 months ago
18	30	1110	24 HOURS EATING YELLOW FOOD - The Color Challenge (Spanish)	148	1000	148000	2 weeks ago
10	5	605	Pastel de Papas / Recetas argentinas... ¡mi primer video!!!	145	1000	145000	10 years ago
17	10	1030	CHRISTMAS MEAL PREP (spanish)	145	1000	145000	1 year ago
11	3	663	HOMEMADE BURGER BREAD (spanish)	144	1000	144000	6 months ago
3	44	224	Salty chicken in 2 simple steps / Chicken easy recipes - Paulina Cocina	142	1000	142000	3 years ago
6	19	379	RICE PUDDING - the creamiest recipe! (spanish)	142	1000	142000	6 months ago
4	15	255	Cómo hacer una MANGA PASTELERA CON PAPEL: fácil y económica	141	1000	141000	2 years ago
6	18	378	BUDÍN INTEGRAL : Fácil, esponjoso y con aceite	141	1000	141000	1 year ago
13	16	796	EL MEJOR PLATO DE ESTA SERIE - #2MANGOS (recetas económicas)	140	1000	140000	1 year ago
2	25	145	Cómo se toma el tequila (2 formas) - Paulina Cocina T03 #08	139	1000	139000	5 years ago
10	13	613	GIGANTIC EASTER EGG - Delicious easter dessert (Spanish)	138	1000	138000	5 months ago
0	28	28	Empanadas de jamón y queso: un TRUCO / Recetas argentinas- Paulina Cocina	137	1000	137000	4 years ago
